title,score,scraped_at
US judge orders Trump administration to reopen Voice of America,1,2026-03-30 17:54:47.466351
Step in the right direction: Make the Cyber security world more open source,1,2026-03-30 17:54:48.157030
Adding verification steps to AI agents made them worse. I tested it 29 times,1,2026-03-30 17:54:48.861813
Show HN: CLI to order groceries via reverse-engineered REWE API (Haskell),1,2026-03-30 17:54:49.559419
YAMLResume: Resumes as Code in YAML,1,2026-03-30 17:54:50.237266
Ayatori: An Experimental Agent Orchestration Engine in Clojure,1,2026-03-30 17:54:50.881832
Autoresearch for Refactoring Code,1,2026-03-30 17:54:51.564658
APIEval-20: A Benchmark for Black-Box API Test Suite Generation,2,2026-03-30 17:54:52.285291
Uutils/tar: Rust reimplementation of the tar utility,1,2026-03-30 17:54:52.967478
Wonderful: Quantum Life Must Watch,1,2026-03-30 17:54:53.684648
Captain Midnight satellite broadcast intrusion,1,2026-03-30 17:54:54.461981
It's a Trap: Emperor Palpatine's Poison Pill,1,2026-03-30 17:54:55.310113
Release PiClaw v1.7.0 – The Shawshank Redemption · rcarmo/piclaw,1,2026-03-30 17:54:55.966398
OpenClaw type agents and ERP = future of enterprise?,1,2026-03-30 17:54:56.684047
AI and bots have officially taken over the internet,7,2026-03-30 17:54:57.337858
Subnautica 2 publisher's CEO used ChatGPT to fire studio head and failed,4,2026-03-30 17:54:58.079126
A Cautionary Tale from the Decline of SourceForge,2,2026-03-30 17:54:58.799100
Uber Backs Bills to Make It Harder to Sue Them for Crashes,1,2026-03-30 17:54:59.526698
Is OpenClaw Safe Yet? I Audited My Own Setup,1,2026-03-30 17:55:00.209386
"Show HN: RedTerm, an Android SSH terminal for clipboard image upload",1,2026-03-30 17:55:00.935471
"Free AI Research Resources, Student Journal, & Open Discussion Forum",1,2026-03-30 17:55:01.626899
Dear Mr. 'I know AI and you don't' guy,2,2026-03-30 17:55:02.317418
"'I thought, what the hell have I done?': the people who moved abroad for love",3,2026-03-30 17:55:02.994278
Built a local first personal finance tracker in Rust,1,2026-03-30 17:55:03.713759
"PlayStation prices surge worldwide amid tariffs&supply strain,2nd hike in a year",1,2026-03-30 17:55:04.437556
A Fast Immutable Map in Go,1,2026-03-30 17:55:05.160458
"15 years, one server, 8GB RAM and 500k users – how Webminal refuses to die",23,2026-03-30 17:55:05.843254
Show HN: Real-time voice-to-voice translation for any app on macOS,1,2026-03-30 17:55:06.487707
China's EV Companies Aren't Just Making Great Cars. They're Making Money,4,2026-03-30 17:55:07.130960
Device-Access Under the Digital Omnibus,1,2026-03-30 17:55:07.853652
Private Credit's Exposure to Ailing Software Industry Is Bigger Than Advertised,2,2026-03-30 17:55:08.576108
"Show HN: NVSonar – tells why your GPU is slow, not just utilization percentage",2,2026-03-30 17:55:09.298537
Ask HN: Disable/Destroy Kharg Island Preferable to Occupation?,1,2026-03-30 17:55:09.981521
I built an MCP server so your agent stops picking the wrong cloud services,1,2026-03-30 17:55:10.707017
"Show HN: CSV Analyzer – natural-language analysis, chat and preview, dashboards",1,2026-03-30 17:55:11.351010
Outdoor lighting remote control systems,2,2026-03-30 17:55:11.993223
A Readable Specification of TLS 1.3,1,2026-03-30 17:55:12.676817
The Effect of War-Inflicted Environmental Damage on Free-Ranging Domestic Dogs,2,2026-03-30 17:55:13.397197
Building Useful Agents over Email,2,2026-03-30 17:55:14.110369
LipoVive (Urgent Report) the Science Behind the Gelatin Trick for Metabolic,1,2026-03-30 17:55:14.838565
macbonk – interactive macOS security hardening CLI,2,2026-03-30 17:55:15.569035
The network is the database:data management for highly distributed system (2021),2,2026-03-30 17:55:16.258495
The curious case of retro demo scene graphics,47,2026-03-30 17:55:16.941044
Stanford study reveals AI vision models invent images they never see,3,2026-03-30 17:55:17.667839
A history of styling choices leading to native CSS,2,2026-03-30 17:55:18.363348
Show HN : DrawX - Excalidraw with Back End,2,2026-03-30 17:55:19.082115
Helping disaster response teams turn AI into action across Asia,3,2026-03-30 17:55:19.729648
Tech CEOs suddenly love blaming AI for mass job cuts. Why?,9,2026-03-30 17:55:20.418823
About the growing verification debt in software,3,2026-03-30 17:55:21.139372
Dow Doubles Plastics Price Hike as Iran War Blocks Supply Route,3,2026-03-30 17:55:21.867718
