keyword,trend_score,scraped_at
artificial intelligence,60.33,2026-03-30 17:53:24.229690
climate change,42.77,2026-03-30 17:53:24.229756
space exploration,2.65,2026-03-30 17:53:24.229805
quantum computing,16.78,2026-03-30 17:53:24.229849
electric vehicles,12.88,2026-03-30 17:53:24.229896
cryptocurrency,6.09,2026-03-30 17:53:36.652795
mental health,57.33,2026-03-30 17:53:36.652850
renewable energy,7.34,2026-03-30 17:53:36.652898
gene editing,0.4,2026-03-30 17:53:36.652970
cybersecurity,15.86,2026-03-30 17:53:36.653029
